Expocode,Lines
06BE89_1,IR01W
33NA048_1,PRS02
49TU9307_1,PR18
49SU9307_1,PR17
325023_1,P14 P14N
3175MB93,A16N AR21
06BE88_1,IR04
49RY9306_2,PR02
21OR357_1,PR21
09FA693,P11S
91AASAAMES3_1,ISS01
18HU93019_1,AR07 AR07W
06GA226_2,AR19
49RY9306_1,PR04
32MW9305,PR03
49SU9305_1,PR17
21OR354_1,PR20
18DD19930515,
32OC258_3,AR11
32NM047_1,PRS02
325021_1,P17N
18DD9309_1,PR05/PR06 PR06
90LANZOI3008_2,PR11 PR11/PR13N PR13N
49HH932_1,P13 P13J
29CSMORENA,AR16
74DI202,AR09
49TU9304_1,PR18
74AB78_1,AR10
3175EP293_2,PR16
32WC046_1,PRS02
18HU92053_1,AR10
09AR9391_2,P11A
35MF75_1,ISS01
08BD0493_1,AR08
74DI201_1,ISS01
09AR9309_1,SR03
18DD19930307,
18DD9303_1,PR06
316N138_12,P19C
3175EP193_1,PR16
3250045_1,PRS02
35A3CITHER1_2,A06
49SU9302_2,PR17
49TK9302_1,PR03
74DI200_1,S04
35MFCIVA_1,I06S
49RY9301_1,PR02
49TU9301_1,PR18
31TC044_1,PRS02
91AASAAMES,SR03
35A3CITHER1_1,A07 A07
06MT22_5,A10
74DI199_1,A11
33KL043_1,PRS02
49ZS19921203,SR3S4
316N138_10,P17E/P19S
06AQANTX_7,SR04
06MT22_4,AR15
32OC254_4,AR11
33KL042_1,PRS02
06MT22_3,AR15
61AAKIWI_2,PR12
35A3ROMANCHE_2,AR15
74DI198_1,SR01
49TU9210_4,PR19
21OR335_1,PR21
49KF9210_1,PR03 PR03N
74JC002_1,P19A
32OC254_3,AR10
21OR334_1,PR20
06MT22_2,AR04 AR04EW AR15
49RY9210_2,PR03
32MW041_1,PRS02
08EA0192_1,AR08
31DSEP692_2,PR16
49XK9207,"PR23 PR23,PR24 PR24"
316N138_9,P16 P16A/P17A
49TU9210_1,PR18
74AB73_1,AR11
49SU9209_2,PR17
74CH19920925,AR28
32OC254_2,AR10
32IC24_10,AR04 AR04EW AR04EW/ACM10
32MW040_1,PRS02
09FA0792,PR11
316N138_8,PR32
06AZ129_1,AR07 AR07E
18DD9204_1,PR05/PR06 PR06
31DSXX92,NON-WOCE
35LLCOARE156_3,PR15
07AL692_1,AR06/AR16 AR16
316N138_7,P14 P14C
06AQANTX_5,SR01
35LLSURTPAC_17,PR15
3220CGC92_1,P13
32MW039_1,PRS02
492S9208_1,PR27
49TU9207_1,PR18
49SU9207_2,PR17
29HE06_1,A05
09FA0692,PR33
316N138_5,P06W
58JH1092_1,AR18
ZZ9919920710,PCM07
32MW038_1,PRS02
49RY9206_2,PR02
91AF105,AR09
49RY9206_1,PR04
32MW037_1,PRS02
316N138_4,P06C
18HU92014_1,AR07 AR07W AR07W/AR13 AR13
06AQANTX_4,A12 SR04
08EH0492_1,AR08
74AB68_1,AR10
21OR316_1,PR20 PR21
316N138_3,P06E
49TU9204_1,PR18
49SU9204_1,PR17
32WC036_1,PRS02
18EN9202_1,PR05/PR06 PR06
32OC250_4,AR11
32WC035_1,PRS02
49SU9202_4,PR17
3175EP192_1,PR16
35LLCOARE156_2,PR15
35MF71JADE_1,IR06
90KDIOFFE6_1,S04 S04P
49TK9202_1,PR03
32WC034_1,PRS02
49RY9201_2,PR01
90BR,AR13
18DD9201_1,PR06
35LLSURTPAC_16,PR15
49RY9201_1,PR02
06HF2092_1,AR16
32WC033_1,PRS02
32WC032_1,PRS02
76XB09_1,PR22/PR24/PR25/PR26 PR24
49RY9111_1,PR03
09FA1091_1,PR11 PR11/PR31
49TU9110_3,PR19
21OR300_1,PR21
492S9110_1,PR27
32WC031_1,PRS02
18EN9105_1,PR06
49TU9110_1,PR18
31DSEP391_1,PR16
49SU9109_2,PR17
49KF9110_1,PR03 PR03N
90MD46_1,AR11
09AR9101_1,SR03
49HH915_2,P13 P13C
32MW030_1,PRS02
08BD0491,AR08
21OR294_1,PR20
74AB62A,AR18
06MT18_1,A01 A01E
31WTTUNES_3,P16 P16N P16C
07AL991_1,AR16 AR16/AR06
3175MB91_2,AR21
49HH915_1,P13 P13C
35A3ROMANCHE_1,AR15
31HX029_1,PRS02
49TU9107_2,PR18
74AB62_1,AR07 AR07E AR07E/AR12 AR12
35LLSURTPAC_15,PR15
49SU9107_2,PR17
31WTTUNES_2,P16 P16S P16S/P17S
09FA0691,PR33
3175MB91,AR21
90VE43_1,AR11
21OR287_2,PR21
31HX028_1,PRS02
21OR287_1,PR20
49RY9106_2,PR02
74AB19910614,AR24 AR27
49RY9106_1,PR04
31HX027_1,PRS02
31WTTUNES_1,P17C
18HU91015_1,AR07 AR07W
06MT16_3,AR04 AR04EW AR15
74AB59_1,AR12
31HX026_1,PRS02
49SU9104_2,PR17
49TU9104_1,PR18
32OC240_2,AR11
74AB58_1,AR12
18HU91007_1,AR05/AR20/AR22
35MF68SUZIL,ISS01
31HX025_1,PRS02
64TR91_1,AR07 AR07E
91AASAAMES1_1,ISS01
3175EP191_1,PR16
35LLSURTPAC_14,PR15
06HF991_1,AR16
31HX024_1,PRS02
49SU9102_3,PR17
61AAKIWI_1,PR12
49TK9102_1,PR03
31DSCGC91_1,P16 P16N
06MT15_3,A09
32MW023_1,PRS02
49TU9101_2,PR18
49RY9101_1,PR02
49GD9101_1,PR01 PR01S PR01S/PR23 PR23
06MT15_1,AR15
21OR266_2,PR21
06BESO73_1,IR04
32MW022_1,PRS02
49RY9011_3,PR03
31DSEP390_2,PR16
06AQANTIX_2,SR04
33NA021_1,PRS02
49TU9010_3,PR19
49RY9011_1,PR02
49KF9010_1,PR03 PR03N
21OR257_1,PR20
06MT14_2,AR04 AR04EW AR15 AR4E/AR4W/AR15
32MW020_1,PRS02
74CH19900829,AR28
33KA019_1,PRS02
49RY9006_2,PR02
18DA90012_1,AR07 AR07W
64TR90_3,AR07 AR07E
74CD50_1,AR25
74CH19900621,AR28
49RY9006_1,PR04
32WC018_1,PRS02
33KA017_1,PRS02
74DI19900425,A16N
3175EP190_1,PR16
64TR19900417,A16N
32WC016_1,PRS02
33KA015_1,PRS02
09FA290_1,PR13N
09FA290_2,PR11
3175CG90_1,P15S
33KA014_1,PRS02
49TK9002_1,PR03
06MT11_5,A21 S04 SR02
32MW013_1,PRS02
74AB29_1,I05 I05P
319W907_1,NON-WOCE
